time_stamp	px_state	py_state	v_state	yaw_angle_state	yaw_rate_state	sensor_type	NIS	px_measured	py_measured	px_ground_truth	py_ground_truth	vx_ground_truth	vy_ground_truth
1477010443000000	0.312243	0.58034	1	1	0.1	lidar	0	0.312243	0.58034	0.6	0.6	5.19994	0
1477010443050000	0.637666	0.736863	4.64865	1.12962	0.110743	radar	16.6164	0.862916	0.534212	0.859997	0.600045	5.19975	0.00179686
1477010443100000	1.03639	0.612924	4.76103	0.0206071	0.00875519	lidar	5.14511	1.17385	0.481073	1.11998	0.600225	5.19943	0.00538996
1477010443150000	1.24014	0.51224	4.88091	0.0168463	0.0446848	radar	2.41988	0.969149	0.397513	1.37996	0.600629	5.19898	0.0107781
1477010443200000	1.54026	0.562967	4.9138	0.0694775	0.0722824	lidar	1.20817	1.65063	0.62469	1.6399	0.601347	5.19839	0.0179597
1477010443250000	1.7848	0.562867	5.2854	0.0893462	0.206302	radar	1.9628	1.62331	0.499091	1.89982	0.60247	5.19766	0.0269323
1477010443300000	2.08566	0.604664	5.31961	0.104967	0.224836	lidar	0.782525	2.18882	0.648739	2.1597	0.604086	5.19678	0.0376932
1477010443350000	2.3076	0.644038	5.2227	0.141315	0.243132	radar	1.71809	1.96701	0.557117	2.41954	0.606284	5.19573	0.0502389
1477010443400000	2.5849	0.676704	5.24777	0.137765	0.197045	lidar	0.294867	2.65526	0.66598	2.67932	0.609155	5.1945	0.0645654
1477010443450000	2.85851	0.664626	5.28063	0.0763684	-0.0422022	radar	0.380933	2.92034	0.645898	2.93904	0.612786	5.19309	0.080668
1477010443500000	3.09812	0.671591	5.25876	0.0630548	-0.0878395	lidar	0.479431	3.01222	0.637046	3.19869	0.617267	5.19147	0.0985415
1477010443550000	3.39046	0.562845	5.31299	-0.108214	-0.615366	radar	2.43071	3.56096	0.485311	3.45825	0.622685	5.18963	0.11818
1477010443600000	3.69702	0.453541	5.37576	-0.240958	-0.909311	lidar	3.49291	3.89365	0.311793	3.71772	0.62913	5.18754	0.139576
1477010443650000	3.97675	0.544538	5.38665	-0.084856	-0.326007	radar	3.7498	4.19786	0.698311	3.97708	0.636689	5.18519	0.162724
1477010443700000	4.25415	0.538375	5.3934	-0.0826422	-0.278168	lidar	0.267751	4.30935	0.578564	4.23632	0.645449	5.18256	0.187614
1477010443750000	4.51607	0.571953	5.36065	-0.0452287	-0.163739	radar	1.21647	4.61908	0.68951	4.49542	0.655498	5.17962	0.214238
1477010443800000	4.7119	0.678883	5.25146	0.0567865	0.0671603	lidar	10.2377	4.35143	0.899174	4.75437	0.666921	5.17634	0.242587
1477010443850000	4.9669	0.674273	5.22405	0.0416161	0.0302114	radar	2.24304	5.20901	0.66599	5.01315	0.679804	5.1727	0.272649
1477010443900000	5.27198	0.668923	5.27531	0.0281152	0.0037645	lidar	3.24156	5.51894	0.648233	5.27175	0.694234	5.16867	0.304413
1477010443950000	5.53003	0.67628	5.28001	0.0297205	0.00630962	radar	1.42483	5.22834	0.639362	5.53013	0.710295	5.16422	0.337868
1477010444000000	5.82663	0.689838	5.31459	0.0329152	0.0120609	lidar	2.00952	6.022	0.708619	5.78828	0.728072	5.15932	0.372999
1477010444050000	6.07461	0.61262	5.28726	-0.0269868	-0.0867175	radar	4.21988	5.89392	0.373584	6.04618	0.747647	5.15393	0.409793
